pose_path,label,video_id,center_frame,clip_length,punch_type,split
data/processed/poses/V1.mp4/straight_V1_000195_v000001.npy,0,V1.mp4,195,11,straight,train
data/processed/poses/V1.mp4/hook_V1_000214_v000002.npy,1,V1.mp4,214,11,hook,train
data/processed/poses/V1.mp4/straight_V1_000234_v000003.npy,0,V1.mp4,234,11,straight,train
data/processed/poses/V1.mp4/straight_V1_000239_v000004.npy,0,V1.mp4,239,11,straight,train
data/processed/poses/V1.mp4/straight_V1_000348_v000005.npy,0,V1.mp4,348,11,straight,train
data/processed/poses/V1.mp4/straight_V1_001005_v000006.npy,0,V1.mp4,1005,11,straight,train
data/processed/poses/V1.mp4/hook_V1_001019_v000007.npy,1,V1.mp4,1019,11,hook,train
data/processed/poses/V1.mp4/hook_V1_001051_v000008.npy,1,V1.mp4,1051,11,hook,train
data/processed/poses/V1.mp4/straight_V1_001076_v000009.npy,0,V1.mp4,1076,11,straight,train
data/processed/poses/V1.mp4/hook_V1_001111_v000010.npy,1,V1.mp4,1111,11,hook,train
data/processed/poses/V1.mp4/straight_V1_001122_v000011.npy,0,V1.mp4,1122,11,straight,train
data/processed/poses/V1.mp4/straight_V1_001184_v000012.npy,0,V1.mp4,1184,11,straight,train
data/processed/poses/V1.mp4/straight_V1_001231_v000013.npy,0,V1.mp4,1231,11,straight,train
data/processed/poses/V1.mp4/hook_V1_001238_v000014.npy,1,V1.mp4,1238,11,hook,train
data/processed/poses/V1.mp4/hook_V1_001358_v000015.npy,1,V1.mp4,1358,11,hook,train
data/processed/poses/V1.mp4/straight_V1_001386_v000016.npy,0,V1.mp4,1386,11,straight,train
data/processed/poses/V1.mp4/hook_V1_001392_v000017.npy,1,V1.mp4,1392,11,hook,train
data/processed/poses/V1.mp4/straight_V1_001420_v000018.npy,0,V1.mp4,1420,11,straight,train
data/processed/poses/V1.mp4/hook_V1_001425_v000019.npy,1,V1.mp4,1425,11,hook,train
data/processed/poses/V1.mp4/straight_V1_001452_v000020.npy,0,V1.mp4,1452,11,straight,train
data/processed/poses/V1.mp4/straight_V1_001470_v000021.npy,0,V1.mp4,1470,11,straight,train
data/processed/poses/V1.mp4/hook_V1_001525_v000022.npy,1,V1.mp4,1525,11,hook,train
data/processed/poses/V1.mp4/hook_V1_001559_v000023.npy,1,V1.mp4,1559,11,hook,train
data/processed/poses/V1.mp4/straight_V1_001571_v000024.npy,0,V1.mp4,1571,11,straight,train
data/processed/poses/V1.mp4/straight_V1_001582_v000025.npy,0,V1.mp4,1582,11,straight,train
data/processed/poses/V1.mp4/straight_V1_001604_v000026.npy,0,V1.mp4,1604,11,straight,train
data/processed/poses/V1.mp4/hook_V1_001624_v000027.npy,1,V1.mp4,1624,11,hook,train
data/processed/poses/V1.mp4/straight_V1_001942_v000028.npy,0,V1.mp4,1942,11,straight,train
data/processed/poses/V1.mp4/straight_V1_002038_v000029.npy,0,V1.mp4,2038,11,straight,train
data/processed/poses/V1.mp4/straight_V1_002043_v000030.npy,0,V1.mp4,2043,11,straight,train
data/processed/poses/V1.mp4/straight_V1_002076_v000031.npy,0,V1.mp4,2076,11,straight,train
data/processed/poses/V1.mp4/straight_V1_002082_v000032.npy,0,V1.mp4,2082,11,straight,train
data/processed/poses/V1.mp4/straight_V1_002094_v000033.npy,0,V1.mp4,2094,11,straight,train
data/processed/poses/V1.mp4/hook_V1_002116_v000034.npy,1,V1.mp4,2116,11,hook,train
data/processed/poses/V1.mp4/straight_V1_002139_v000035.npy,0,V1.mp4,2139,11,straight,train
data/processed/poses/V1.mp4/hook_V1_002183_v000036.npy,1,V1.mp4,2183,11,hook,train
data/processed/poses/V1.mp4/straight_V1_002229_v000037.npy,0,V1.mp4,2229,11,straight,train
data/processed/poses/V1.mp4/hook_V1_002249_v000038.npy,1,V1.mp4,2249,11,hook,train
data/processed/poses/V1.mp4/straight_V1_002262_v000039.npy,0,V1.mp4,2262,11,straight,train
data/processed/poses/V1.mp4/straight_V1_002271_v000040.npy,0,V1.mp4,2271,11,straight,train
data/processed/poses/V1.mp4/hook_V1_002383_v000041.npy,1,V1.mp4,2383,11,hook,train
data/processed/poses/V1.mp4/straight_V1_002441_v000042.npy,0,V1.mp4,2441,11,straight,train
data/processed/poses/V1.mp4/hook_V1_002485_v000043.npy,1,V1.mp4,2485,11,hook,train
data/processed/poses/V1.mp4/none_V1_002746_v000044.npy,3,V1.mp4,2746,11,none,train
data/processed/poses/V1.mp4/none_V1_002756_v000045.npy,3,V1.mp4,2756,11,none,train
data/processed/poses/V1.mp4/none_V1_002795_v000046.npy,3,V1.mp4,2795,11,none,train
data/processed/poses/V1.mp4/none_V1_002796_v000047.npy,3,V1.mp4,2796,11,none,train
data/processed/poses/V1.mp4/none_V1_002798_v000048.npy,3,V1.mp4,2798,11,none,train
data/processed/poses/V1.mp4/none_V1_002800_v000049.npy,3,V1.mp4,2800,11,none,train
data/processed/poses/V1.mp4/none_V1_002801_v000050.npy,3,V1.mp4,2801,11,none,train
