image_path,label,video_id,frame_index,punch_type,split
data/processed/frames/uppercut_IMG_2643_000086.jpg,2,IMG_2643.mp4,86,uppercut,train
data/processed/frames/uppercut_IMG_2643_000137.jpg,2,IMG_2643.mp4,137,uppercut,train
data/processed/frames/uppercut_IMG_2643_000188.jpg,2,IMG_2643.mp4,188,uppercut,train
data/processed/frames/uppercut_IMG_2643_000239.jpg,2,IMG_2643.mp4,239,uppercut,train
data/processed/frames/hook_IMG_2643_000294.jpg,1,IMG_2643.mp4,294,hook,train
data/processed/frames/hook_IMG_2643_000351.jpg,1,IMG_2643.mp4,351,hook,train
data/processed/frames/hook_IMG_2643_000404.jpg,1,IMG_2643.mp4,404,hook,train
data/processed/frames/hook_IMG_2643_000459.jpg,1,IMG_2643.mp4,459,hook,train
data/processed/frames/uppercut_IMG_2643_000515.jpg,2,IMG_2643.mp4,515,uppercut,train
data/processed/frames/uppercut_IMG_2643_000574.jpg,2,IMG_2643.mp4,574,uppercut,train
data/processed/frames/uppercut_IMG_2643_000633.jpg,2,IMG_2643.mp4,633,uppercut,train
data/processed/frames/uppercut_IMG_2643_000693.jpg,2,IMG_2643.mp4,693,uppercut,train
data/processed/frames/uppercut_IMG_2643_000744.jpg,2,IMG_2643.mp4,744,uppercut,train
data/processed/frames/uppercut_IMG_2643_000799.jpg,2,IMG_2643.mp4,799,uppercut,train
data/processed/frames/hook_IMG_2643_000853.jpg,1,IMG_2643.mp4,853,hook,train
data/processed/frames/hook_IMG_2643_000907.jpg,1,IMG_2643.mp4,907,hook,train
data/processed/frames/hook_IMG_2643_000962.jpg,1,IMG_2643.mp4,962,hook,train
data/processed/frames/uppercut_IMG_2643_001019.jpg,2,IMG_2643.mp4,1019,uppercut,train
data/processed/frames/uppercut_IMG_2643_001070.jpg,2,IMG_2643.mp4,1070,uppercut,train
data/processed/frames/uppercut_IMG_2643_001128.jpg,2,IMG_2643.mp4,1128,uppercut,train
data/processed/frames/uppercut_IMG_2643_001258.jpg,2,IMG_2643.mp4,1258,uppercut,train
data/processed/frames/uppercut_IMG_2643_001316.jpg,2,IMG_2643.mp4,1316,uppercut,train
data/processed/frames/uppercut_IMG_2643_001374.jpg,2,IMG_2643.mp4,1374,uppercut,train
data/processed/frames/uppercut_IMG_2643_001430.jpg,2,IMG_2643.mp4,1430,uppercut,train
data/processed/frames/uppercut_IMG_2643_001482.jpg,2,IMG_2643.mp4,1482,uppercut,train
data/processed/frames/uppercut_IMG_2643_001535.jpg,2,IMG_2643.mp4,1535,uppercut,train
data/processed/frames/hook_IMG_2643_001590.jpg,1,IMG_2643.mp4,1590,hook,train
data/processed/frames/hook_IMG_2643_001649.jpg,1,IMG_2643.mp4,1649,hook,train
data/processed/frames/uppercut_IMG_2643_001707.jpg,2,IMG_2643.mp4,1707,uppercut,train
data/processed/frames/uppercut_IMG_2643_001765.jpg,2,IMG_2643.mp4,1765,uppercut,train
data/processed/frames/hook_IMG_2643_001819.jpg,1,IMG_2643.mp4,1819,hook,train
data/processed/frames/uppercut_IMG_2643_001934.jpg,2,IMG_2643.mp4,1934,uppercut,train
data/processed/frames/uppercut_IMG_2643_001988.jpg,2,IMG_2643.mp4,1988,uppercut,train
data/processed/frames/uppercut_IMG_2643_002039.jpg,2,IMG_2643.mp4,2039,uppercut,train
data/processed/frames/uppercut_IMG_2643_002141.jpg,2,IMG_2643.mp4,2141,uppercut,train
data/processed/frames/hook_IMG_2643_002191.jpg,1,IMG_2643.mp4,2191,hook,train
data/processed/frames/uppercut_IMG_2643_002244.jpg,2,IMG_2643.mp4,2244,uppercut,train
data/processed/frames/hook_IMG_2643_002293.jpg,1,IMG_2643.mp4,2293,hook,train
data/processed/frames/uppercut_IMG_2643_002346.jpg,2,IMG_2643.mp4,2346,uppercut,train
data/processed/frames/none_IMG_2643_002386.jpg,3,IMG_2643.mp4,2386,none,train
data/processed/frames/straight_IMG_2643_002386.jpg,0,IMG_2643.mp4,2386,straight,train
data/processed/frames/none_IMG_2643_002386.jpg,3,IMG_2643.mp4,2386,none,train
data/processed/frames/none_IMG_2643_002386.jpg,3,IMG_2643.mp4,2386,none,train
data/processed/frames/none_IMG_2643_002386.jpg,3,IMG_2643.mp4,2386,none,train
data/processed/frames/straight_V1_000195.jpg,0,V1.mp4,195,straight,val
data/processed/frames/hook_V1_000214.jpg,1,V1.mp4,214,hook,val
data/processed/frames/straight_V1_000234.jpg,0,V1.mp4,234,straight,val
data/processed/frames/straight_V1_000239.jpg,0,V1.mp4,239,straight,val
data/processed/frames/straight_V1_000348.jpg,0,V1.mp4,348,straight,val
data/processed/frames/straight_V1_001005.jpg,0,V1.mp4,1005,straight,val
data/processed/frames/straight_V1_001013.jpg,0,V1.mp4,1013,straight,val
data/processed/frames/hook_V1_001019.jpg,1,V1.mp4,1019,hook,val
data/processed/frames/hook_V1_001051.jpg,1,V1.mp4,1051,hook,val
data/processed/frames/straight_V1_001076.jpg,0,V1.mp4,1076,straight,val
data/processed/frames/hook_V1_001111.jpg,1,V1.mp4,1111,hook,val
data/processed/frames/straight_V1_001122.jpg,0,V1.mp4,1122,straight,val
data/processed/frames/straight_V1_001184.jpg,0,V1.mp4,1184,straight,val
data/processed/frames/straight_V1_001231.jpg,0,V1.mp4,1231,straight,val
data/processed/frames/hook_V1_001238.jpg,1,V1.mp4,1238,hook,val
data/processed/frames/hook_V1_001358.jpg,1,V1.mp4,1358,hook,val
data/processed/frames/straight_V1_001386.jpg,0,V1.mp4,1386,straight,val
data/processed/frames/hook_V1_001392.jpg,1,V1.mp4,1392,hook,val
data/processed/frames/straight_V1_001420.jpg,0,V1.mp4,1420,straight,val
data/processed/frames/hook_V1_001425.jpg,1,V1.mp4,1425,hook,val
data/processed/frames/straight_V1_001452.jpg,0,V1.mp4,1452,straight,val
data/processed/frames/straight_V1_001470.jpg,0,V1.mp4,1470,straight,val
data/processed/frames/hook_V1_001525.jpg,1,V1.mp4,1525,hook,val
data/processed/frames/hook_V1_001559.jpg,1,V1.mp4,1559,hook,val
data/processed/frames/straight_V1_001571.jpg,0,V1.mp4,1571,straight,val
data/processed/frames/straight_V1_001582.jpg,0,V1.mp4,1582,straight,val
data/processed/frames/straight_V1_001604.jpg,0,V1.mp4,1604,straight,val
data/processed/frames/hook_V1_001624.jpg,1,V1.mp4,1624,hook,val
data/processed/frames/hook_V1_001656.jpg,1,V1.mp4,1656,hook,val
data/processed/frames/straight_V1_001942.jpg,0,V1.mp4,1942,straight,val
data/processed/frames/straight_V1_001981.jpg,0,V1.mp4,1981,straight,val
data/processed/frames/straight_V1_002038.jpg,0,V1.mp4,2038,straight,val
data/processed/frames/straight_V1_002043.jpg,0,V1.mp4,2043,straight,val
data/processed/frames/straight_V1_002071.jpg,0,V1.mp4,2071,straight,val
data/processed/frames/straight_V1_002076.jpg,0,V1.mp4,2076,straight,val
data/processed/frames/straight_V1_002082.jpg,0,V1.mp4,2082,straight,val
data/processed/frames/straight_V1_002094.jpg,0,V1.mp4,2094,straight,val
data/processed/frames/hook_V1_002116.jpg,1,V1.mp4,2116,hook,val
data/processed/frames/straight_V1_002139.jpg,0,V1.mp4,2139,straight,val
data/processed/frames/straight_V1_002162.jpg,0,V1.mp4,2162,straight,val
data/processed/frames/hook_V1_002183.jpg,1,V1.mp4,2183,hook,val
data/processed/frames/hook_V1_002216.jpg,1,V1.mp4,2216,hook,val
data/processed/frames/straight_V1_002229.jpg,0,V1.mp4,2229,straight,val
